No,レア,カード名,card_number,買取金額,更新日,弾,ラッシュ販売価格,ラッシュ在庫状況,画像URL,期待利益,鑑定費,手取り利益,利益率,月換算利益率
112/100,SR,アルセウスＶ(SA),112/100,21000,6/13,,11800,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73395f3232303131335f31352e6a7067003136300000660023666666666666.jpg,9200,3000,6200,41.9,20.9
114/100,SR,シロナの覇気,114/100,11000,6/13,,2780,在庫あり (41枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73395f3232303131335f31332e6a7067003136300000660023666666666666.jpg,8220,3000,5220,90.3,45.2
420/414,UR,ガラルフリーザーV,420/414,10000,6/13,,2480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231313231365f3530396566342e6a70670031363000534f4c44204f555400660023666666666666.jpg,7520,3000,4520,82.5,41.2
421/414,UR,ガラルサンダーV,421/414,10000,6/13,,2380,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231313231365f3039653263372e6a70670031363000534f4c44204f555400660023666666666666.jpg,7620,3000,4620,85.9,42.9
422/414,UR,ガラルファイヤーV,422/414,14000,6/13,,3580,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231313231365f6461626266662e6a70670031363000534f4c44204f555400660023666666666666.jpg,10420,3000,7420,112.8,56.4
415/414,SR,ピカチュウV,415/414,52000,6/13,,28800,在庫あり (13枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231313231365f3266643837642e6a7067003136300000660023666666666666.jpg,23200,3000,20200,63.5,31.8
279/184,UR,ピカチュウVMAX,279/184,50000,6/13,,31800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383334302e6a7067003136300000660023666666666666.jpg,18200,3000,15200,43.7,21.8
280/184,UR,ミュウVMAX,280/184,41000,6/13,,25800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383334312e6a7067003136300000660023666666666666.jpg,15200,3000,12200,42.4,21.2
222/184,CSR,ピカチュウ,222/184,48000,6/13,,30800,在庫あり (25枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383335372e6a7067003136300000660023666666666666.jpg,17200,3000,14200,42.0,21.0
223/184,CSR,ピカチュウVMAX,223/184,50000,6/13,,32800,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383335382e6a7067003136300000660023666666666666.jpg,17200,3000,14200,39.7,19.8
231/184,CSR,ニンフィアV,231/184,16000,6/13,,7780,在庫あり (17枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383336342e6a7067003136300000660023666666666666.jpg,8220,3000,5220,48.4,24.2
232/184,CSR,ニンフィアVMAX,232/184,21000,6/13,,12800,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383336352e6a7067003136300000660023666666666666.jpg,8200,3000,5200,32.9,16.5
233/184,CSR,ミミッキュV,233/184,17000,6/13,,7280,在庫あり (17枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383336362e6a7067003136300000660023666666666666.jpg,9720,3000,6720,65.4,32.7
234/184,CSR,ミミッキュVMAX,234/184,16000,6/13,,9980,在庫あり (27枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383336372e6a7067003136300000660023666666666666.jpg,6020,3000,3020,23.3,11.6
242/184,CSR,ガラルファイヤーV,242/184,8000,6/13,,2580,在庫あり (66枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383337362e6a7067003136300000660023666666666666.jpg,5420,3000,2420,43.4,21.7
244/184,CSR,ブラッキーV,244/184,26000,6/13,,9980,在庫あり (15枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383337382e6a7067003136300000660023666666666666.jpg,16020,3000,13020,100.3,50.2
245/184,CSR,ブラッキーVMAX,245/184,32000,6/13,,17800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383337392e6a70670031363000534f4c44204f555400660023666666666666.jpg,14200,3000,11200,53.8,26.9
252/184,CSR,レックウザVMAX,252/184,60000,6/13,,32800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383338372e6a7067003136300000660023666666666666.jpg,27200,3000,24200,67.6,33.8
258/184,SR,ガラルの仲間たち,258/184,11000,6/13,,4480,在庫あり (38枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383339332e6a7067003136300000660023666666666666.jpg,6520,3000,3520,47.1,23.5
277/184,SR,ルリナ,277/184,10000,6/13,,2380,在庫あり (16枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383431342e6a7067003136300000660023666666666666.jpg,7620,3000,4620,85.9,42.9
187/184,CHR,リザードン,187/184,13000,6/13,,4980,在庫あり (79枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383431382e6a7067003136300000660023666666666666.jpg,8020,3000,5020,62.9,31.5
189/184,CHR,シャワーズ,189/184,7500,6/13,,2380,在庫あり (114枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383432302e6a7067003136300000660023666666666666.jpg,5120,3000,2120,39.4,19.7
193/184,CHR,サンダース,193/184,7500,6/13,,2180,在庫あり (52枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383432342e6a7067003136300000660023666666666666.jpg,5320,3000,2320,44.8,22.4
195/184,CHR,ゼクロム,195/184,9000,6/13,,3480,在庫あり (59枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383432362e6a7067003136300000660023666666666666.jpg,5520,3000,2520,38.9,19.4
210/184,CHR,イーブイ,210/184,7500,6/13,,2280,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383434332e6a7067003136300000660023666666666666.jpg,5220,3000,2220,42.0,21.0
006/025,P,ロケット団参上！,006/025,11000,6/13,,3980,在庫あり (20枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030362e6a7067003136300000660023666666666666.jpg,7020,3000,4020,57.6,28.8
008/025,P,R団のサンダー,008/025,10000,6/21,,3980,在庫あり (23枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030382e6a7067003136300000660023666666666666.jpg,6020,3000,3020,43.3,21.6
013/025,P,ロケット団の幹部,013/025,6500,6/13,,980,在庫あり (15枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031332e6a7067003136300000660023666666666666.jpg,5520,3000,2520,63.3,31.7
014/025,P,ミュウex,014/025,38000,6/13,,25800,在庫あり (27枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031342e6a7067003136300000660023666666666666.jpg,12200,3000,9200,31.9,16.0
018/025,P,ガブリアスC　LV.X,018/025,9000,6/13,,3780,在庫あり (36枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031382e6a7067003136300000660023666666666666.jpg,5220,3000,2220,32.7,16.4
023/025,P,ゼルネアスEX,023/025,10000,6/21,,3480,在庫あり (51枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615032332e6a7067003136300000660023666666666666.jpg,6520,3000,3520,54.3,27.2
024/025,P,MレックウザEX,024/025,50000,6/21,,37800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615032342e6a70670031363000534f4c44204f555400660023666666666666.jpg,12200,3000,9200,22.5,11.3
030/028,UR,ミュウ,030/028,70000,6/13,,43800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231313032315f3037326239382e6a70670031363000534f4c44204f555400660023666666666666.jpg,26200,3000,23200,49.6,24.8
001/028,-,ピカチュウ(25thミラー),001/028,35000,6/13,,3280,在庫あり (47枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3172757368705338613030313032382e6a7067003136300000660023666666666666.jpg,31720,10000,21720,163.6,
002/028,-,ミュウ(25thミラー),002/028,25000,6/13,,1380,在庫あり (44枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3272757368705338613030323032382e6a7067003136300000660023666666666666.jpg,23620,3000,20620,470.8,235.4
021/028,RR,なみのりピカチュウV(25th),021/028,12000,6/13,,2580,在庫あり (81枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f323172757368705338613032313032382e6a7067003136300000660023666666666666.jpg,9420,3000,6420,115.1,57.5
022/028,RRR,なみのりピカチュウVMAX(25th),022/028,15000,6/13,,4480,在庫あり (180枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f323272757368705338613032323032382e6a7067003136300000660023666666666666.jpg,10520,3000,7520,100.5,50.3
023/028,RR,そらをとぶピカチュウV(25th),023/028,10000,6/13,,2580,在庫あり (63枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f323372757368705338613032333032382e6a7067003136300000660023666666666666.jpg,7420,3000,4420,79.2,39.6
024/028,RRR,そらをとぶピカチュウVMAX(25th),024/028,12000,6/13,,4480,在庫あり (175枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f323472757368705338613032343032382e6a7067003136300000660023666666666666.jpg,7520,3000,4520,60.4,30.2
118/100,HR,ミュウVMAX,118/100,42000,6/13,,26800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36373838373137332e6a7067003136300000660023666666666666.jpg,15200,3000,12200,40.9,20.5
122/100,HR,カミツレのきらめき,122/100,7000,6/13,,1580,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36373838373137382e6a7067003136300000660023666666666666.jpg,5420,3000,2420,52.8,26.4
105/100,SR,ミュウV,105/100,25000,6/13,,13800,在庫あり (14枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36373838373135392e6a7067003136300000660023666666666666.jpg,11200,3000,8200,48.8,24.4
113/100,SR,カミツレのきらめき,113/100,8500,6/13,,2380,在庫あり (31枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36373838373136382e6a7067003136300000660023666666666666.jpg,6120,3000,3120,58.0,29.0
074/067,SR,オンバーンV(SA),074/067,16000,6/13,,7980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337443030372e6a7067003136300000660023666666666666.jpg,8020,3000,5020,45.7,22.9
081/067,HR,ギャラドスVMAX,081/067,18000,6/13,,5280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523031342e6a70670031363000534f4c44204f555400660023666666666666.jpg,12720,3000,9720,117.4,58.7
070/067,SR,ギャラドスV,070/067,17000,6/13,,2980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523030332e6a7067003136300000660023666666666666.jpg,14020,3000,11020,184.3,92.1
072/067,SR,チャーレムV(SA),072/067,10000,6/13,,3480,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523030352e6a7067003136300000660023666666666666.jpg,6520,3000,3520,54.3,27.2
073/067,SR,カイリューV,073/067,20000,6/13,,2980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523030362e6a70670031363000534f4c44204f555400660023666666666666.jpg,17020,3000,14020,234.4,117.2
075/067,SR,レックウザV,075/067,60000,6/13,,16800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523030382e6a70670031363000534f4c44204f555400660023666666666666.jpg,43200,10000,33200,123.9,
076/067,SR,レックウザV(SA),076/067,250000,6/13,,188000,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523030392e6a7067003136300000660023666666666666.jpg,62000,10000,52000,26.3,
077/067,SR,サナ,077/067,16000,6/13,,8980,在庫あり (32枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523031302e6a7067003136300000660023666666666666.jpg,7020,3000,4020,33.6,16.8
079/067,SR,ヒガナの決意,079/067,15000,6/13,,6780,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523031322e6a7067003136300000660023666666666666.jpg,8220,3000,5220,53.4,26.7
088/069,HR,リーフィアVMAX,088/069,11000,6/13,,5480,在庫あり (17枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3462363030642e6a7067003136300000660023666666666666.jpg,5520,3000,2520,29.7,14.9
090/069,HR,グレイシアVMAX,090/069,10000,6/13,,4980,在庫あり (14枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6430353962312e6a7067003136300000660023666666666666.jpg,5020,3000,2020,25.3,12.7
092/069,HR,ニンフィアVMAX,092/069,16000,6/13,,8980,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3039343032632e6a7067003136300000660023666666666666.jpg,7020,3000,4020,33.6,16.8
094/069,HR,ブラッキーVMAX,094/069,25000,6/13,,15800,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3264393937312e6a7067003136300000660023666666666666.jpg,9200,3000,6200,33.0,16.5
070/069,SR,リーフィアV,070/069,7500,6/13,,2180,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6433333634372e6a7067003136300000660023666666666666.jpg,5320,3000,2320,44.8,22.4
080/069,SR,エーフィV,080/069,11000,6/13,,2780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3335336133312e6a70670031363000534f4c44204f555400660023666666666666.jpg,8220,3000,5220,90.3,45.2
082/069,SR,ニンフィアV,082/069,11000,6/13,,4780,在庫あり (13枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6533353334612e6a7067003136300000660023666666666666.jpg,6220,3000,3220,41.4,20.7
084/069,SR,ブラッキーV,084/069,22000,6/13,,11800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3761343838392e6a7067003136300000660023666666666666.jpg,10200,3000,7200,48.6,24.3
076/070,SR,こくばバドレックスV（SA),076/070,10000,6/13,,4280,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73364b3030362e6a7067003136300000660023666666666666.jpg,5720,3000,2720,37.4,18.7
079/070,SR,ハピナスV(SA),079/070,11000,6/13,,4780,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73364b3030392e6a7067003136300000660023666666666666.jpg,6220,3000,3220,41.4,20.7
080/070,SR,アスナ,080/070,8000,6/13,,1680,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7336483031302e6a70670031363000534f4c44204f555400660023666666666666.jpg,6320,3000,3320,70.9,35.5
093/070,UR,カビゴン,093/070,38000,6/13,,24800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613039333037302e6a70670031363000534f4c44204f555400660023666666666666.jpg,13200,3000,10200,36.7,18.3
074/070,SR,ガラルフリーザーV(SA),074/070,16000,6/13,,8480,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613037343037302e6a7067003136300000660023666666666666.jpg,7520,3000,4520,39.4,19.7
080/070,SR,ガラルヤドキングV(SA),080/070,25000,6/13,,16800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613038303037302e6a7067003136300000660023666666666666.jpg,8200,3000,5200,26.3,13.1
086/070,HR,コルニの気合い,086/070,6500,6/13,,1080,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335522d53525f3231303132315f31352e6a7067003136300000660023666666666666.jpg,5420,3000,2420,59.3,29.7
074/070,SR,エンペルトV(SA),074/070,25000,6/13,,15800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335522d53525f3231303132315f332e6a70670031363000534f4c44204f555400660023666666666666.jpg,9200,3000,6200,33.0,16.5
079/070,SR,コルニの気合い,079/070,10000,6/13,,4980,在庫あり (33枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303132325f6530326431372e6a7067003136300000660023666666666666.jpg,5020,3000,2020,25.3,12.7
073/070,SR,ミミッキュV,073/070,12000,6/13,,2980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335492d53525f3231303132315f322e6a70670031363000534f4c44204f555400660023666666666666.jpg,9020,3000,6020,100.7,50.3
327/190,UR,ムゲンダイナV,327/190,8000,6/13,,1380,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f534853545653303332372e6a70670031363000534f4c44204f555400660023666666666666.jpg,6620,3000,3620,82.6,41.3
328/190,UR,ムゲンダイナVMAX,328/190,7000,6/13,,1180,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f534853545653303332382e6a70670031363000534f4c44204f555400660023666666666666.jpg,5820,3000,2820,67.5,33.7
307/190,SSR,リザードンV,307/190,32000,6/13,,17800,在庫あり (21枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f534853545653303330372e6a7067003136300000660023666666666666.jpg,14200,3000,11200,53.8,26.9
323/190,SSR,メタモンV,323/190,20000,6/13,,1980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f534853545653303332332e6a70670031363000534f4c44204f555400660023666666666666.jpg,18020,3000,15020,301.6,150.8
324/190,SSR,メタモンVMAX,324/190,25000,6/13,,2380,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f534853545653303332342e6a7067003136300000660023666666666666.jpg,22620,3000,19620,364.7,182.3
195/190,SR,フウロ,195/190,10000,6/13,,4780,在庫あり (20枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f534853545653303139352e6a7067003136300000660023666666666666.jpg,5220,3000,2220,28.5,14.3
114/100,HR,ピカチュウVMAX,114/100,80000,6/13,,29800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303232303130345f3631633439342e6a70670031363000534f4c44204f555400660023666666666666.jpg,50200,10000,40200,101.0,
104/100,SR,ピカチュウV,104/100,50000,6/13,,35800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f53503130342e6a7067003136300000660023666666666666.jpg,14200,3000,11200,28.9,14.4
009/076,A,セレビィ,009/076,20000,6/13,,5780,在庫あり (14枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7333613030392e6a7067003136300000660023666666666666.jpg,14220,3000,11220,127.8,63.9
015/076,A,ライコウ,015/076,14000,6/13,,4780,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7333613031352e6a7067003136300000660023666666666666.jpg,9220,3000,6220,79.9,40.0
050/076,A,ジラーチ,050/076,18000,6/13,,7480,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7333613035302e6a7067003136300000660023666666666666.jpg,10520,3000,7520,71.8,35.9
056/076,A,レックウザ,056/076,48000,6/13,,32800,在庫あり (20枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7333613035362e6a7067003136300000660023666666666666.jpg,15200,3000,12200,34.1,17.0
108/100,SR,ボーマンダV,108/100,6500,6/13,,880,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5053335f3230303630345f303031322e6a7067003136300000660023666666666666.jpg,5620,3000,2620,67.5,33.8
070/060,HR,カビゴンVMAX,070/060,18000,6/13,,8980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7331685f32303139313230355f303031302e6a7067003136300000660023666666666666.jpg,9020,3000,6020,50.3,25.1
072/060,HR,マリィ,072/060,18000,6/13,,11800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7331685f32303139313230355f303031322e6a7067003136300000660023666666666666.jpg,6200,3000,3200,21.6,10.8
046/060,RRR,カビゴンVMAX,046/060,12000,6/13,,5480,在庫あり (57枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73313130362e6a7067003136300000660023666666666666.jpg,6520,3000,3520,41.5,20.8
124/S-P,P,ピカチュウ,124/S-P,30000,6/13,,17800,在庫あり (14枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f503132342e6a7067003136300000660023666666666666.jpg,12200,3000,9200,44.2,22.1
132/S-P,P,ピカチュウ,132/S-P,48000,6/13,,16800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303230313032345f3839356466612e6a70670031363000534f4c44204f555400660023666666666666.jpg,31200,10000,21200,79.1,
140/S-P,P,マリィ,140/S-P,30000,6/13,,7980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303230313131395f3930666161662e6a70670031363000534f4c44204f555400660023666666666666.jpg,22020,3000,19020,173.2,86.6
144/S-P,P,カナザワのピカチュウ,144/S-P,52000,6/13,,31800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303230313132305f3538326432372e6a70670031363000534f4c44204f555400660023666666666666.jpg,20200,3000,17200,49.4,24.7
147/S-P,P,カナザワのピカチュウ(スペシャルBOX版),147/S-P,170000,6/13,,89800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303230313131395f3264316561372e6a70670031363000534f4c44204f555400660023666666666666.jpg,80200,10000,70200,70.3,
208/S-P,P,ピカチュウ,208/S-P,46000,6/13,,27800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303732315f3037626631322e6a7067003136300000660023666666666666.jpg,18200,3000,15200,49.4,24.7
226/S-P,P,ウッウ(月に雁),226/S-P,95000,6/13,,74800,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303832345f6365626361342e6a7067003136300000660023666666666666.jpg,20200,3000,17200,22.1,11.1
243/S-P,P,ビクティニV,243/S-P,50000,6/13,,11800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231313231385f3731373863352e6a70670031363000534f4c44204f555400660023666666666666.jpg,38200,10000,28200,129.4,
267/S-P,P,アルセウスV,267/S-P,9000,6/13,,2180,在庫あり (28枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303232303132375f3765613863342e6a7067003136300000660023666666666666.jpg,6820,3000,3820,73.7,36.9
304/S-P,P,ルカリオV(争奪戦プロモ),304/S-P,70000,6/13,,37800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303233303133315f6164616239382e6a70670031363000534f4c44204f555400660023666666666666.jpg,32200,10000,22200,46.4,
305/S-P,P,ルカリオVstar(争奪戦プロモ),305/S-P,250000,6/13,,138000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303232303932375f3734333836652e6a70670031363000534f4c44204f555400660023666666666666.jpg,112000,10000,102000,68.9,
322/S-P,P,ルギアV,322/S-P,30000,6/13,,19800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7275676961333232532d502e6a70670031363000534f4c44204f555400660023666666666666.jpg,10200,3000,7200,31.6,15.8
323/S-P,P,ピカチュウ,323/S-P,85000,6/13,,64800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303232313132325f6236653239652e6a70670031363000534f4c44204f555400660023666666666666.jpg,20200,3000,17200,25.4,12.7
001/015,P,ピカチュウV,001/015,220000,6/13,,34800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50696b616368753030313031352e6a70670031363000534f4c44204f555400660023666666666666.jpg,185200,10000,175200,391.1,
220/173,UR,レシラム＆リザードンGX,220/173,78000,6/13,,52800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033382e6a7067003136300000660023666666666666.jpg,25200,3000,22200,39.8,19.9
221/173,UR,ピカチュウ＆ゼクロムGX,221/173,130000,6/13,,62800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033392e6a70670031363000534f4c44204f555400660023666666666666.jpg,67200,10000,57200,78.6,
222/173,UR,ミュウツー＆ミュウGX,222/173,140000,6/13,,62800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3034302e6a70670031363000534f4c44204f555400660023666666666666.jpg,77200,10000,67200,92.3,
223/173,UR,ゲッコウガ＆ゾロアークGX,223/173,35000,6/13,,21800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3034312e6a7067003136300000660023666666666666.jpg,13200,3000,10200,41.1,20.6
224/173,UR,ルカリオ＆メルメタルGX,224/173,35000,6/13,,11800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3034322e6a70670031363000534f4c44204f555400660023666666666666.jpg,23200,3000,20200,136.5,68.2
225/173,UR,ガブリアス＆ギラティナGX,225/173,50000,6/13,,21800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3034332e6a70670031363000534f4c44204f555400660023666666666666.jpg,28200,3000,25200,101.6,50.8
212/173,HR,エーフィ＆デオキシスGX,212/173,26000,6/13,,16800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033302e6a70670031363000534f4c44204f555400660023666666666666.jpg,9200,3000,6200,31.3,15.7
214/173,HR,ジラーチGX,214/173,26000,6/13,,12800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033322e6a70670031363000534f4c44204f555400660023666666666666.jpg,13200,3000,10200,64.6,32.3
218/173,HR,トゲピー&ピィ&ププリンGX,218/173,20000,6/13,,12800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033362e6a7067003136300000660023666666666666.jpg,7200,3000,4200,26.6,13.3
219/173,HR,イーブイGX,219/173,65000,6/13,,27800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033372e6a70670031363000534f4c44204f555400660023666666666666.jpg,37200,10000,27200,72.0,
