No,レア,カード名,card_number,買取金額,更新日,弾,ラッシュ販売価格,ラッシュ在庫状況,画像URL,期待利益
077/070,SR,バンギラスV(SA),077/070,62000,2/16,,52800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335492d53525f3231303132315f362e6a70670031363000534f4c44204f555400660023666666666666.jpg,9200
080/070,SR,フヨウ,080/070,9000,2/16,,2980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335492d53525f3231303132315f392e6a70670031363000534f4c44204f555400660023666666666666.jpg,6020
307/190,SSR,リザードンV,307/190,21000,2/16,,18800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f534853545653303330372e6a7067003136300000660023666666666666.jpg,2200
308/190,SSR,リザードンVMAX,308/190,28000,2/16,,27800,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f534853545653303330382e6a7067003136300000660023666666666666.jpg,200
195/190,SR,フウロ,195/190,9000,2/16,,4780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f534853545653303139352e6a70670031363000534f4c44204f555400660023666666666666.jpg,4220
197/190,SR,ポケモンごっこ,197/190,8000,2/16,,2780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f534853545653303139372e6a70670031363000534f4c44204f555400660023666666666666.jpg,5220
198/190,SR,マリィ,198/190,26000,2/16,,0,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/0031363000534f4c44204f555400660023666666666666.jpg,
114/100,HR,ピカチュウVMAX,114/100,68000,2/16,,29800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303232303130345f3631633439342e6a70670031363000534f4c44204f555400660023666666666666.jpg,38200
104/100,SR,ピカチュウV,104/100,35000,2/16,,12800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f53503130342e6a70670031363000534f4c44204f555400660023666666666666.jpg,22200
111/100,SR,ルリナ,111/100,9000,2/16,,5480,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f53503131312e6a7067003136300000660023666666666666.jpg,3520
106/096,SR,ボスの指令(サカキ),106/096,16000,2/16,,22800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7373323130362e6a7067003136300000660023666666666666.jpg,-6800
077/070,SR,ソニア,077/070,32000,2/16,,29800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f564d41587261697a696e675f32303230303230365f303030372e6a7067003136300000660023666666666666.jpg,2200
073/060,UR,ザシアンV,073/060,6000,2/16,,5480,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7331775f32303139313230355f303031332e6a7067003136300000660023666666666666.jpg,520
046/060,RRR,カビゴンVMAX,046/060,7500,2/16,,5280,在庫あり (30枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73313130362e6a7067003136300000660023666666666666.jpg,2220
068/060,SR,マリィ,068/060,85000,2/16,,79800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7331685f32303139313230355f303030382e6a7067003136300000660023666666666666.jpg,5200
001/S-P,P,ピカチュウ,001/S-P,130000,2/16,,,在庫なし,,
002/S-P,P,シブヤのピカチュウ,002/S-P,72000,2/16,,,在庫なし,,
020/019,SCG,ゲンガーVMAX(SA),020/019,210000,2/16,,228000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3238646234342e6a70670031363000534f4c44204f555400660023666666666666.jpg,-18000
123/S-P,P,ピカチュウVAMX(バンザイピカチュウ),123/S-P,58000,2/16,,,在庫なし,,
144/S-P,P,カナザワのピカチュウ,144/S-P,44000,2/16,,25800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303230313132305f3538326432372e6a70670031363000534f4c44204f555400660023666666666666.jpg,18200
147/S-P,P,カナザワのピカチュウ(スペシャルBOX版),147/S-P,110000,2/16,,67800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303230313131395f3264316561372e6a70670031363000534f4c44204f555400660023666666666666.jpg,42200
189/S-P,P,エーフィVMAX,189/S-P,75000,2/16,,39800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3335303061392e6a70670031363000534f4c44204f555400660023666666666666.jpg,35200
227/S-P,P,ピカチュウ(見返り美人),227/S-P,290000,2/16,,158000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303832345f3733646265382e6a70670031363000534f4c44204f555400660023666666666666.jpg,132000
226/S-P,P,ウッウ(月に雁),226/S-P,42000,2/16,,44800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303832345f6365626361342e6a70670031363000534f4c44204f555400660023666666666666.jpg,-2800
267/S-P,P,アルセウスV,267/S-P,5500,2/16,,1580,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303232303132375f3765613863342e6a70670031363000534f4c44204f555400660023666666666666.jpg,3920
323/S-P,P,ピカチュウ,323/S-P,65000,2/16,,39800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303232313132325f6236653239652e6a70670031363000534f4c44204f555400660023666666666666.jpg,25200
001/015,P,ピカチュウV,001/015,150000,2/16,,34800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50696b616368753030313031352e6a70670031363000534f4c44204f555400660023666666666666.jpg,115200
208/S-P,P,ピカチュウ,208/S-P,27000,2/16,,17800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303732315f3037626631322e6a70670031363000534f4c44204f555400660023666666666666.jpg,9200
103/S-P,P,リザードンV(争奪戦プロモ),103/S-P,320000,2/16,,358000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303230303732335f3165336538302e6a7067003136300000660023666666666666.jpg,-38000
104/S-P,P,リザードンVMAX(争奪戦プロモ),104/S-P,1200000,2/16,,598000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303230303732335f3735616266622e6a70670031363000534f4c44204f555400660023666666666666.jpg,602000
304/S-P,P,ルカリオV(争奪戦プロモ),304/S-P,45000,2/16,,35800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303233303133315f6164616239382e6a70670031363000534f4c44204f555400660023666666666666.jpg,9200
305/S-P,P,ルカリオVstar(争奪戦プロモ),305/S-P,155000,2/16,,138000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303232303932375f3734333836652e6a70670031363000534f4c44204f555400660023666666666666.jpg,17000
220/173,UR,レシラム＆リザードンGX,220/173,45000,2/16,,42800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033382e6a70670031363000534f4c44204f555400660023666666666666.jpg,2200
221/173,UR,ピカチュウ＆ゼクロムGX,221/173,65000,2/16,,39800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033392e6a70670031363000534f4c44204f555400660023666666666666.jpg,25200
222/173,UR,ミュウツー＆ミュウGX,222/173,55000,2/16,,44800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3034302e6a70670031363000534f4c44204f555400660023666666666666.jpg,10200
225/173,UR,ガブリアス＆ギラティナGX,225/173,16000,2/16,,14800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3034332e6a70670031363000534f4c44204f555400660023666666666666.jpg,1200
226/173,UR,ファイヤー＆サンダー＆フリーザーGX,226/173,30000,2/16,,23800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3034342e6a70670031363000534f4c44204f555400660023666666666666.jpg,6200
215/173,HR,ブラッキー＆ダークライGX,215/173,24000,2/16,,24800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033332e6a7067003136300000660023666666666666.jpg,-800
219/173,HR,イーブイGX,219/173,38000,2/16,,26800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033372e6a7067003136300000660023666666666666.jpg,11200
175/173,SR,デデンネGX(SA),175/173,25000,2/16,,15800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3030322e6a7067003136300000660023666666666666.jpg,9200
177/173,SR,エーフィ＆デオキシスGX(SA),177/173,100000,2/16,,42800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3030342e6a70670031363000534f4c44204f555400660023666666666666.jpg,57200
179/173,SR,オーロット＆ヨノワールGX(SA),179/173,12000,2/16,,9980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3030362e6a7067003136300000660023666666666666.jpg,2020
182/173,SR,ブラッキー&ダークライGX(SA),182/173,200000,2/16,,158000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3030392e6a70670031363000534f4c44204f555400660023666666666666.jpg,42000
186/173,SR,トゲピー&ピィ&ププリンGX(SA),186/173,95000,2/16,,49800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3031332e6a70670031363000534f4c44204f555400660023666666666666.jpg,45200
188/173,SR,イーブイGX(SA),188/173,68000,2/16,,49800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3031352e6a70670031363000534f4c44204f555400660023666666666666.jpg,18200
190/173,SR,エリカのおもてなし,190/173,130000,2/16,,118000,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3031372e6a7067003136300000660023666666666666.jpg,12000
191/173,SR,カスミ＆カンナ,191/173,65000,2/16,,42800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3031382e6a70670031363000534f4c44204f555400660023666666666666.jpg,22200
192/173,SR,かんこうきゃく,192/173,200000,2/16,,138000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3031392e6a70670031363000534f4c44204f555400660023666666666666.jpg,62000
193/173,SR,グリーンの戦略,193/173,45000,2/16,,34800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3032302e6a70670031363000534f4c44204f555400660023666666666666.jpg,10200
196/173,SR,ブルーの探索,196/173,130000,2/16,,74800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3032332e6a70670031363000534f4c44204f555400660023666666666666.jpg,55200
197/173,SR,ホミカ,197/173,12000,2/16,,6980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3032342e6a70670031363000534f4c44204f555400660023666666666666.jpg,5020
198/173,SR,マツリカ,198/173,12000,2/16,,8480,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3032352e6a7067003136300000660023666666666666.jpg,3520
201/173,SR,レッドの挑戦,201/173,72000,2/16,,39800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3032382e6a70670031363000534f4c44204f555400660023666666666666.jpg,32200
100/095,SR,アルセウス＆ディアルガ＆パルキアGX(SA),100/095,120000,2/16,,108000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d31323130302e6a7067003136300000660023666666666666.jpg,12000
104/095,SR,メガミミロップ＆プリンGX(SA),104/095,29000,2/16,,29800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d31323130342e6a7067003136300000660023666666666666.jpg,-800
107/095,SR,マオ＆スイレン,107/095,22000,2/16,,22800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d31323130372e6a7067003136300000660023666666666666.jpg,-800
108/095,SR,レッド＆グリーン,108/095,20000,2/16,,9480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d31323130382e6a70670031363000534f4c44204f555400660023666666666666.jpg,10520
070/049,HR,ソルガレオ＆ルナアーラGX（SA）,070/049,30000,2/16,,27800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303830395f6663343637352e6a70670031363000534f4c44204f555400660023666666666666.jpg,2200
071/049,HR,レシラム＆ゼクロムGX（SA）,071/049,20000,2/16,,17800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303830395f3636376261632e6a70670031363000534f4c44204f555400660023666666666666.jpg,2200
062/049,SR,ラフレシアGX（SA）,062/049,17000,2/16,,9480,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303830395f3561656539662e6a7067003136300000660023666666666666.jpg,7520
063/049,SR,ソルガレオ＆ルナアーラGX（SA）,063/049,100000,2/16,,69800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303830395f6664666638372e6a70670031363000534f4c44204f555400660023666666666666.jpg,30200
064/049,SR,レシラム＆ゼクロムGX（SA）,064/049,48000,2/16,,35800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303830395f3161303665632e6a70670031363000534f4c44204f555400660023666666666666.jpg,12200
067/049,SR,メイ,067/049,60000,2/16,,57800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303830395f3564313063312e6a7067003136300000660023666666666666.jpg,2200
068/049,SR,リーリエの全力,068/049,72000,2/16,,59800,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3131623036382e6a7067003136300000660023666666666666.jpg,12200
052/049,CHR,ポッチャマ,052/049,15000,2/16,,13800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303830395f6231396166642e6a7067003136300000660023666666666666.jpg,1200
054/049,CHR,ピカチュウ,054/049,35000,2/16,,29800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303830395f3632333231632e6a7067003136300000660023666666666666.jpg,5200
058/049,CHR,ミミッキュ,058/049,12000,2/16,,8480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303830395f3736373461382e6a70670031363000534f4c44204f555400660023666666666666.jpg,3520
066/064,SR,フシギバナ＆ツタージャGX(SA),066/064,26000,2/16,,15800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d313161323030322e6a70670031363000534f4c44204f555400660023666666666666.jpg,10200
068/064,SR,リザードン＆テールナーGX(SA),068/064,95000,2/16,,72800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d313161323030342e6a70670031363000534f4c44204f555400660023666666666666.jpg,22200
070/064,SR,カメックス＆ポッチャマGX(SA),070/064,95000,2/16,,49800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d313161323030362e6a7067003136300000660023666666666666.jpg,45200
096/094,SR,ヤドン＆コダックGX(SA),096/094,100000,2/16,,49800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732385f3834323834632e6a7067003136300000660023666666666666.jpg,50200
098/094,SR,ミュウツー＆ミュウGX(SA),098/094,230000,2/16,,198000,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732385f3863346430622e6a7067003136300000660023666666666666.jpg,32000
102/094,SR,メガヤミラミ＆バンギラスGX(SA),102/094,65000,2/16,,32800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732385f6262316165362e6a70670031363000534f4c44204f555400660023666666666666.jpg,32200
104/094,SR,カスミのおねがい,104/094,70000,2/16,,32800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d31313130342e6a70670031363000534f4c44204f555400660023666666666666.jpg,37200
060/054,SR,ファイヤー＆サンダー＆フリーザーGX(SA),060/054,280000,2/16,,188000,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303432355f3236366530392e6a7067003136300000660023666666666666.jpg,92000
062/054,SR,ムサシとコジロウ,062/054,65000,2/16,,37800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3130623036322e6a7067003136300000660023666666666666.jpg,27200
057/054,SR,ライチュウ＆アローラライチュウGX(SA),057/054,120000,2/16,,59800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3130613035372e6a70670031363000534f4c44204f555400660023666666666666.jpg,60200
060/054,SR,ガブリアス＆ギラティナGX(SA),060/054,75000,2/16,,35800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3130613036302e6a70670031363000534f4c44204f555400660023666666666666.jpg,39200
108/095,HR,レシラム＆リザードンGX,108/095,35000,2/16,,21800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303330315f3665316363372e6a70670031363000534f4c44204f555400660023666666666666.jpg,13200
097/095,SR,レシラム＆リザードンGX(SA),097/095,190000,2/16,,148000,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d31303039372e6a7067003136300000660023666666666666.jpg,42000
101/095,SR,マーシャドー＆カイリキーGX(SA),101/095,28000,2/16,,17800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303330315f3162306335342e6a70670031363000534f4c44204f555400660023666666666666.jpg,10200
059/054,SR,ルカリオ＆メルメタルGX(SA),059/054,40000,2/16,,,在庫なし,,
061/054,SR,ブルーの探索,061/054,50000,2/16,,31800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d39622d3036312e6a7067003136300000660023666666666666.jpg,18200
067/055,HR,サーナイト＆ニンフィアGX,067/055,16000,2/16,,14800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f333634353533372e6a70670031363000534f4c44204f555400660023666666666666.jpg,1200
059/055,SR,ゲッコウガ＆ゾロアークGX(SA),059/055,100000,2/16,,59800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f333634353533332e6a7067003136300000660023666666666666.jpg,40200
061/055,SR,サーナイト＆ニンフィアGX(SA),061/055,220000,2/16,,168000,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f333634353533352e6a7067003136300000660023666666666666.jpg,52000
112/095,HR,ピカチュウ＆ゼクロムGX,112/095,32000,2/16,,23800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393131322e6a70670031363000534f4c44204f555400660023666666666666.jpg,8200
113/095,HR,ゲンガー＆ミミッキュGX,113/095,55000,2/16,,44800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393131332e4a50470031363000534f4c44204f555400660023666666666666.jpg,10200
097/095,SR,セレビィ＆フシギバナGX(SA),097/095,72000,2/16,,27800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393039372e6a70670031363000534f4c44204f555400660023666666666666.jpg,44200
099/095,SR,コイキング＆ホエルオーGX(SA),099/095,260000,2/16,,148000,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393039392e6a7067003136300000660023666666666666.jpg,112000
101/095,SR,ピカチュウ＆ゼクロムGX(SA),101/095,420000,2/16,,278000,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130312e4a5047003136300000660023666666666666.jpg,142000
103/095,SR,ゲンガー＆ミミッキュGX(SA),103/095,300000,2/16,,298000,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130332e6a7067003136300000660023666666666666.jpg,2000
105/095,SR,ラティアス＆ラティオスGX(SA),105/095,500000,2/16,,478000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130352e4a5047003136300000660023666666666666.jpg,22000
107/095,SR,エリカのおもてなし,107/095,34000,2/16,,23800,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130372e4a5047003136300000660023666666666666.jpg,10200
209/150,SSR,リザードンGX,209/150,260000,2/16,,228000,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313130325f6337356661652e6a7067003136300000660023666666666666.jpg,32000
229/150,SSR,ブラッキーGX,229/150,110000,2/16,,84800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7573666f696c3232362e6a70670031363000534f4c44204f555400660023666666666666.jpg,25200
238/150,SSR,ニンフィアGX,238/150,55000,2/16,,32800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7573666f696c3233352e6a70670031363000534f4c44204f555400660023666666666666.jpg,22200
240/150,SSR,レックウザGX,240/150,160000,2/16,,74800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7573666f696c3233372e6a70670031363000534f4c44204f555400660023666666666666.jpg,85200
153/150,SR,シロナ,153/150,48000,2/16,,37800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732335f6563353461352e6a7067003136300000660023666666666666.jpg,10200
058/052,SR,ミカン,058/052,26000,2/16,,18800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313030355f3861323965372e6a7067003136300000660023666666666666.jpg,7200
108/095,HR,ルギアGX,108/095,42000,2/16,,27800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138303930375f6463353436372e6a70670031363000534f4c44204f555400660023666666666666.jpg,14200
101/095,SR,アカネ,101/095,23000,2/16,,13800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f313839377073696e382e6a7067003136300000660023666666666666.jpg,9200
056/050,SR,マツリカ,056/050,12000,2/16,,6480,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d61747572696b6173722e6a7067003136300000660023666666666666.jpg,5520
060/050,HR,ミミッキュGX,060/050,20000,2/16,,11800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d696d696b6b797568722e6a70670031363000534f4c44204f555400660023666666666666.jpg,8200
065/060,SR,カヒリ,065/060,16000,2/16,,9980,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6b616869726973722e6a7067003136300000660023666666666666.jpg,6020
109/096,HR,レックウザGX,109/096,100000,2/16,,42800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72656b6b757568722e6a70670031363000534f4c44204f555400660023666666666666.jpg,57200
104/096,SR,ルチア,104/096,230000,2/16,,268000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303233313032305f6239306138642e6a7067003136300000660023666666666666.jpg,-38000
073/066,SR,地底探検隊,073/066,30000,2/16,,,在庫なし,,
074/066,SR,TVレポーター,074/066,23000,2/16,,24800,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f747630372e6a7067003136300000660023666666666666.jpg,-1800
077/066,SR,モノマネむすめ,077/066,32000,2/16,,32800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d6f6e6f6d616e6573722e6a7067003136300000660023666666666666.jpg,-800
059/053,SR,ヒガナ,059/053,70000,2/16,,44800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f686967616e6173722e6a7067003136300000660023666666666666.jpg,25200
100/094,SR,おじょうさま,100/094,44000,2/16,,37800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6f6a796f7573722e6a7067003136300000660023666666666666.jpg,6200
101/094,SR,カルネ,101/094,20000,2/16,,11800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6b6172756e6573722e6a7067003136300000660023666666666666.jpg,8200
102/094,SR,ユリーカ,102/094,18000,2/16,,17800,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f797572696b6173722e6a7067003136300000660023666666666666.jpg,200
059/050,HR,ルカリオGX,059/050,20000,2/16,,15800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72756b6172696f3035392e6a70670031363000534f4c44204f555400660023666666666666.jpg,4200
055/050,SR,ウルトラ調査隊,055/050,9000,2/16,,8980,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f75727574616e6e73722e6a7067003136300000660023666666666666.jpg,20
070/066,SR,ナタネ,070/066,45000,2/16,,28800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6e6174616e657372322e6a7067003136300000660023666666666666.jpg,16200
072/066,SR,マーズ,072/066,9500,2/16,,17800,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d617a7573722e6a7067003136300000660023666666666666.jpg,-8300
070/066,SR,シロナ,070/066,140000,2/16,,118000,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732335f3566663261352e6a7067003136300000660023666666666666.jpg,22000
118/114,SR,スイレン,118/114,200000,2/16,,74800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73756972656e6e7372392e6a7067003136300000660023666666666666.jpg,125200
119/114,SR,リーリエ,119/114,1600000,2/16,,998000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732335f6136396334612e6a70670031363000534f4c44204f555400660023666666666666.jpg,602000
120/114,SR,ルザミーネ,120/114,350000,2/16,,188000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757a616d6979616d696f7469312e6a7067003136300000660023666666666666.jpg,162000
055/050,SR,グラジオ,055/050,24000,2/16,,27800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f677572616a696f73722e6a7067003136300000660023666666666666.jpg,-3800
055/050,SR,ルザミーネ,055/050,170000,2/16,,178000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757a616d6973722e6a7067003136300000660023666666666666.jpg,-8000
